date,net_buy_amount,buy_amount,sell_amount,total_net_buy_amount,当日资金流入,当日余额,持股市值,领涨股,领涨股-涨跌幅,沪深300,沪深300-涨跌幅,领涨股-代码
2026-01-05,,,,,,,0.0,创新医疗,10.0,4023.42,1.38,002173.SZ
2026-01-06,,,,,,,0.0,南京熊猫,9.97,4083.67,1.5,600775.SH
2026-01-07,,,,,,,0.0,南京熊猫,10.01,4085.77,0.05,600775.SH
2026-01-08,,,,,,,0.0,杭萧钢构,10.1,4082.98,-0.07,600477.SH
2026-01-09,,,,,,,0.0,杭萧钢构,10.09,4120.43,0.92,600477.SH
2026-01-12,,,,,,,0.0,杭萧钢构,10.0,4165.29,1.09,600477.SH
2026-01-13,,,,,,,0.0,交运股份,10.04,4138.76,-0.64,600676.SH
2026-01-14,,,,,,,0.0,三江购物,10.01,4126.09,-0.31,601116.SH
2026-01-15,,,,,,,0.0,紫光国微,10.0,4112.6,-0.33,002049.SZ
2026-01-16,,,,,,,0.0,恒辉安防,20.0,4101.91,-0.26,300952.SZ
2026-01-19,,,,,,,0.0,汉缆股份,10.09,4114.0,0.29,002498.SZ
2026-01-20,,,,,,,0.0,江化微,9.99,4113.65,-0.01,603078.SH
2026-01-21,,,,,,,0.0,江化微,10.02,4116.94,0.08,603078.SH
2026-01-22,,,,,,,0.0,盈方微,10.05,4122.58,0.14,000670.SZ
2026-01-23,,,,,,,0.0,中超控股,10.03,4136.16,0.33,002471.SZ
2026-01-26,,,,,,,0.0,天奇股份,9.98,4132.61,-0.09,002009.SZ
2026-01-27,,,,,,,0.0,湖南黄金,10.01,4139.9,0.18,002155.SZ
2026-01-28,,,,,,,0.0,盈新发展,10.06,4151.24,0.27,000620.SZ
2026-01-29,,,,,,,0.0,中国黄金,10.02,4157.98,0.16,600916.SH
2026-01-30,,,,,,,0.0,盘江股份,10.06,4117.95,-0.96,600395.SH
2026-02-02,,,,,,,0.0,顺钠股份,10.02,4015.75,-2.48,000533.SZ
2026-02-03,,,,,,,0.0,泰豪科技,10.04,4067.74,1.29,600590.SH
2026-02-04,,,,,,,0.0,特发信息,10.01,4102.2,0.85,000070.SZ
2026-02-05,,,,,,,0.0,陕西黑猫,9.96,4075.92,-0.64,601015.SH
2026-02-06,,,,,,,0.0,特一药业,10.04,4065.58,-0.25,002728.SZ
2026-02-09,,,,,,,0.0,金晶科技,10.04,4123.09,1.41,600586.SH
2026-02-10,,,,,,,0.0,欢瑞世纪,10.06,4128.37,0.13,000892.SZ
2026-02-11,,,,,,,0.0,大位科技,10.04,4131.98,0.09,600589.SH
2026-02-12,,,,,,,0.0,大位科技,10.0,4134.02,0.05,600589.SH
2026-02-13,,,,,,,0.0,豫能控股,10.01,4082.07,-1.26,001896.SZ
2026-02-24,,,,,,,0.0,风华高科,10.01,4117.41,0.87,000636.SZ
