symbol,name,report_period,announcement_date,announcement_title,announcement_url
000001,平安银行,20231231,2024-03-15,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1219306493&orgId=gssz0000001&announcementTime=2024-03-15
000001,平安银行,20240331,2024-04-20,2024年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1219692666&orgId=gssz0000001&announcementTime=2024-04-20
000001,平安银行,20240630,2024-08-16,2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1220882160&orgId=gssz0000001&announcementTime=2024-08-16
000001,平安银行,20240930,2024-10-19,2024年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1221432574&orgId=gssz0000001&announcementTime=2024-10-19
000001,平安银行,20241231,2025-03-15,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1222806505&orgId=gssz0000001&announcementTime=2025-03-15
000001,平安银行,20250331,2025-04-19,2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1223145614&orgId=gssz0000001&announcementTime=2025-04-19
000001,平安银行,20250630,2025-08-23,2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1224558635&orgId=gssz0000001&announcementTime=2025-08-23
000001,平安银行,20250930,2025-10-25,2025年三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1224735526&orgId=gssz0000001&announcementTime=2025-10-25
000001,平安银行,20251231,2026-03-21,2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1225022887&orgId=gssz0000001&announcementTime=2026-03-21
000001,平安银行,20260331,2026-04-25,2026年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1225188741&orgId=gssz0000001&announcementTime=2026-04-25
000002,万科A,20231231,2024-03-29,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1219487237&orgId=gssz0000002&announcementTime=2024-03-29
000002,万科A,20240331,2024-04-30,2024年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1219913619&orgId=gssz0000002&announcementTime=2024-04-30
000002,万科A,20240630,2024-08-31,2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1221084198&orgId=gssz0000002&announcementTime=2024-08-31
000002,万科A,20240930,2024-10-31,2024年三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1221577051&orgId=gssz0000002&announcementTime=2024-10-31
000002,万科A,20241231,2025-04-01,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1222974139&orgId=gssz0000002&announcementTime=2025-04-01
000002,万科A,20250331,2025-04-30,2025年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1223431652&orgId=gssz0000002&announcementTime=2025-04-30
000002,万科A,20250630,2025-08-23,2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1224559412&orgId=gssz0000002&announcementTime=2025-08-23
000002,万科A,20250930,2025-10-31,2025年三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1224777195&orgId=gssz0000002&announcementTime=2025-10-31
000002,万科A,20251231,2026-04-01,2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1225067794&orgId=gssz0000002&announcementTime=2026-04-01
000002,万科A,20260331,2026-04-30,2026年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1225264061&orgId=gssz0000002&announcementTime=2026-04-30
000063,中兴通讯,20231231,2024-03-09,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1219266488&orgId=gssz0000063&announcementTime=2024-03-09
000063,中兴通讯,20240331,2024-04-26,2024年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1219820273&orgId=gssz0000063&announcementTime=2024-04-26
000063,中兴通讯,20240630,2024-08-17,2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1220893773&orgId=gssz0000063&announcementTime=2024-08-17
000063,中兴通讯,20240930,2024-10-22,2024年三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1221450092&orgId=gssz0000063&announcementTime=2024-10-22
000063,中兴通讯,20241231,2025-03-01,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1222675749&orgId=gssz0000063&announcementTime=2025-03-01
000063,中兴通讯,20250331,2025-04-23,2025年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1223212102&orgId=gssz0000063&announcementTime=2025-04-23
000063,中兴通讯,20250630,2025-08-29,2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1224612139&orgId=gssz0000063&announcementTime=2025-08-29
000063,中兴通讯,20250930,2025-10-29,2025年三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1224753611&orgId=gssz0000063&announcementTime=2025-10-29
000063,中兴通讯,20251231,2026-03-07,2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1225000301&orgId=gssz0000063&announcementTime=2026-03-07
000063,中兴通讯,20260331,2026-04-25,2026年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1225179186&orgId=gssz0000063&announcementTime=2026-04-25
000100,TCL科技,20231231,2024-04-30,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1219922688&orgId=gssz0000100&announcementTime=2024-04-30
000100,TCL科技,20240331,2024-04-30,2024年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1219922730&orgId=gssz0000100&announcementTime=2024-04-30
000100,TCL科技,20240630,2024-08-27,2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1220986554&orgId=gssz0000100&announcementTime=2024-08-27
000100,TCL科技,20240930,2024-10-30,2024年三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1221556084&orgId=gssz0000100&announcementTime=2024-10-30
000100,TCL科技,20241231,2025-04-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1223379178&orgId=gssz0000100&announcementTime=2025-04-29
000100,TCL科技,20250331,2025-04-29,2025年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1223379185&orgId=gssz0000100&announcementTime=2025-04-29
000100,TCL科技,20250630,2025-08-30,2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1224626314&orgId=gssz0000100&announcementTime=2025-08-30
000100,TCL科技,20250930,2025-10-31,2025年三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1224776053&orgId=gssz0000100&announcementTime=2025-10-31
000100,TCL科技,20251231,2026-03-28,2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1225045623&orgId=gssz0000100&announcementTime=2026-03-28
000100,TCL科技,20260331,2026-04-30,2026年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1225258793&orgId=gssz0000100&announcementTime=2026-04-30
000157,中联重科,20231231,2024-03-29,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000157&announcementId=1219441253&orgId=gssz0000157&announcementTime=2024-03-29
000157,中联重科,20240331,2024-04-30,2024年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000157&announcementId=1219903395&orgId=gssz0000157&announcementTime=2024-04-30
000157,中联重科,20240630,2024-08-30,2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000157&announcementId=1221046661&orgId=gssz0000157&announcementTime=2024-08-30
