factor,name,category,direction,group,group_label,count,mean_return,median_return,min_return,max_return,group1_minus_group5
momentum_20d,月度动量,动量,1,1,top,59,0.042175504886412564,-0.0234134319162045,-0.2438538205980066,0.8015000000000001,0.10569235568847954
momentum_20d,月度动量,动量,1,2,middle,60,-0.025705613609232278,-0.033849499111266446,-0.2588874947720619,0.575829383886256,0.10569235568847954
momentum_20d,月度动量,动量,1,3,middle,59,-0.002788026395564412,-0.0252577319587627,-0.2508510081173082,0.6225081551286697,0.10569235568847954
momentum_20d,月度动量,动量,1,4,middle,60,-0.03143629555115987,-0.037747537530716246,-0.2202111613876319,0.3608913756511673,0.10569235568847954
momentum_20d,月度动量,动量,1,5,bottom,60,-0.06351685080206697,-0.07650144199146605,-0.1929260450160771,0.5985762309669764,0.10569235568847954
turnover_change,换手率变化,动量,1,1,top,59,0.01235200939486658,-0.0327198364008178,-0.2202111613876319,0.8015000000000001,0.02590751349323373
turnover_change,换手率变化,动量,1,2,middle,60,-0.03945801487107251,-0.05011675282852,-0.2588874947720619,0.575829383886256,0.02590751349323373
turnover_change,换手率变化,动量,1,3,middle,59,-0.0051716251231780485,-0.0311286617097643,-0.1884816753926701,0.6200500208420177,0.02590751349323373
turnover_change,换手率变化,动量,1,4,middle,60,-0.03597493167751249,-0.0562731479537418,-0.2508510081173082,0.4148484263371308,0.02590751349323373
turnover_change,换手率变化,动量,1,5,bottom,60,-0.013555504098367154,-0.03740010270165165,-0.2050790608528989,0.6225081551286697,0.02590751349323373
pe_percentile,PE分位数,价值,-1,1,top,59,-0.04323461147251652,-0.045485871812543,-0.1884816753926701,0.1607702642185402,-0.09738465395170352
pe_percentile,PE分位数,价值,-1,2,middle,60,-0.053911503392906936,-0.0752942838308691,-0.2508510081173082,0.4569334147831398,-0.09738465395170352
pe_percentile,PE分位数,价值,-1,3,middle,59,-0.022863506314754558,-0.0379746835443037,-0.1929260450160771,0.575829383886256,-0.09738465395170352
pe_percentile,PE分位数,价值,-1,4,middle,60,-0.017169796041921946,-0.034425398897342946,-0.2588874947720619,0.7144484526295802,-0.09738465395170352
pe_percentile,PE分位数,价值,-1,5,bottom,60,0.054150042479187005,-0.01691358590954945,-0.1808074897600936,0.8015000000000001,-0.09738465395170352
pb_percentile,PB分位数,价值,-1,1,top,59,-0.07296512757847044,-0.0742407199100112,-0.2508510081173082,0.0346320346320345,-0.15180035874688302
pb_percentile,PB分位数,价值,-1,2,middle,60,-0.025175557711264365,-0.0253124440835202,-0.2588874947720619,0.233734939759036,-0.15180035874688302
pb_percentile,PB分位数,价值,-1,3,middle,59,-0.030152087372789665,-0.0379746835443037,-0.2202111613876319,0.575829383886256,-0.15180035874688302
pb_percentile,PB分位数,价值,-1,4,middle,60,-0.034188818201534195,-0.0498462386037838,-0.2438538205980066,0.7144484526295802,-0.15180035874688302
pb_percentile,PB分位数,价值,-1,5,bottom,60,0.07883523116841258,0.004465202090646,-0.1929260450160771,0.8015000000000001,-0.15180035874688302
roe,ROE,质量,1,1,top,59,0.029606450420247465,-0.0379746835443037,-0.1982602392171075,0.8015000000000001,0.07615771926690856
roe,ROE,质量,1,2,middle,60,-0.00960420485152032,-0.037172956688064196,-0.1992619926199262,0.6200500208420177,0.07615771926690856
roe,ROE,质量,1,3,middle,59,-0.02576327146768373,-0.0242616033755275,-0.2588874947720619,0.233734939759036,0.07615771926690856
roe,ROE,质量,1,4,middle,60,-0.029551391718298018,-0.0298258511334463,-0.2438538205980066,0.2528382939552007,0.07615771926690856
roe,ROE,质量,1,5,bottom,60,-0.046551268846661095,-0.0858788116738647,-0.2508510081173082,0.7144484526295802,0.07615771926690856
gross_margin,毛利率,质量,1,1,top,59,-0.021899697104048283,-0.0310650887573964,-0.2508510081173082,0.3188109008258881,0.029850113765506076
gross_margin,毛利率,质量,1,2,middle,60,0.008148034159878541,-0.0212996495327103,-0.1644491750931346,0.7144484526295802,0.029850113765506076
gross_margin,毛利率,质量,1,3,middle,59,-0.0021119751118794036,-0.0583969465648853,-0.2588874947720619,0.8015000000000001,0.029850113765506076
gross_margin,毛利率,质量,1,4,middle,60,-0.014714485057787056,-0.07208855583239805,-0.2438538205980066,0.5985762309669764,0.029850113765506076
gross_margin,毛利率,质量,1,5,bottom,60,-0.05174981086955436,-0.0524519637651632,-0.2202111613876319,0.2879045996592844,0.029850113765506076
revenue_growth_yoy,营收增长率,成长,1,1,top,59,0.06762810163556016,-0.0261690261690261,-0.1992619926199262,0.8015000000000001,0.12877390676478478
revenue_growth_yoy,营收增长率,成长,1,2,middle,60,-0.027307367963556387,-0.0332425367975313,-0.2508510081173082,0.5622317596566522,0.12877390676478478
revenue_growth_yoy,营收增长率,成长,1,3,middle,59,-0.03590930492053663,-0.0353773584905661,-0.1929260450160771,0.7144484526295802,0.12877390676478478
revenue_growth_yoy,营收增长率,成长,1,4,middle,60,-0.024664716456783878,-0.05529372960576345,-0.2588874947720619,0.575829383886256,0.12877390676478478
revenue_growth_yoy,营收增长率,成长,1,5,bottom,60,-0.061145805129224635,-0.07587774136776534,-0.2438538205980066,0.4103552740291929,0.12877390676478478
net_profit_growth_yoy,净利润增长率,成长,1,1,top,59,0.03877198988121406,-0.0353773584905661,-0.2438538205980066,0.8015000000000001,0.07885495053797167
net_profit_growth_yoy,净利润增长率,成长,1,2,middle,60,0.00025143961053258147,-0.0321750547414283,-0.1992619926199262,0.6200500208420177,0.07885495053797167
net_profit_growth_yoy,净利润增长率,成长,1,3,middle,59,-0.02870780920026041,-0.0306859205776174,-0.1884816753926701,0.575829383886256,0.07885495053797167
net_profit_growth_yoy,净利润增长率,成长,1,4,middle,60,-0.05199266273650449,-0.0464354283294303,-0.2588874947720619,0.3316549177576369,0.07885495053797167
net_profit_growth_yoy,净利润增长率,成长,1,5,bottom,60,-0.040082960656757614,-0.07594323383963344,-0.2508510081173082,0.7144484526295802,0.07885495053797167
volatility_60d,60日波动率,波动,-1,1,top,59,-0.0184698818758332,-0.012453300124533,-0.1476997578692493,0.1607702642185402,-0.09643885945319838
volatility_60d,60日波动率,波动,-1,2,middle,60,-0.032304278593967124,-0.033979845808292344,-0.1701222753854332,0.575829383886256,-0.09643885945319838
volatility_60d,60日波动率,波动,-1,3,middle,59,-0.05051916166836847,-0.0683313975996902,-0.2508510081173082,0.4569334147831398,-0.09643885945319838
volatility_60d,60日波动率,波动,-1,4,middle,60,-0.05975321227805819,-0.0738639214427107,-0.2588874947720619,0.2879045996592844,-0.09643885945319838
volatility_60d,60日波动率,波动,-1,5,bottom,60,0.07796897757736518,-0.03333082831681105,-0.2202111613876319,0.8015000000000001,-0.09643885945319838
