symbol,name,industry,asof_date,price_asof_date_x,financial_report_period,financial_announcement_date,momentum_20d,turnover_change,pe_percentile,pb_percentile,roe,gross_margin,revenue_growth_yoy,net_profit_growth_yoy,volatility_60d,price_asof_date_y,asof_close,future_date,future_close,forward_return_20d
000001,平安银行,unknown,20260520,2026-05-20,20260331,2026-04-25,-0.0215759849906191,-0.213753988461594,0.2979910714285714,0.0267857142857142,2.83,71.910876,0.0465157673025007,0.0302922814982973,0.1679651973553983,2026-05-20,10.43,2026-06-17,10.78,0.0335570469798658
000002,万科A,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.0909090909090908,0.0158589361381848,0.3504464285714285,0.2421875,-5.23,9.145383,-0.2386325595234685,-0.0470769289344534,0.3051076887636642,2026-05-20,3.6,2026-06-17,3.09,-0.1416666666666667
000063,中兴通讯,unknown,20260520,2026-05-20,20260331,2026-04-25,0.0523634305123126,-0.0362412701846859,0.9955307262569832,0.5401785714285714,1.72,28.276157,0.0612669555834963,-0.4658165020634509,0.3713607241522784,2026-05-20,37.18,2026-06-17,37.64,0.0123722431414738
000100,TCL科技,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.0165876777251183,0.0031625992100987,0.3754189944134078,0.1149553571428571,2.47,12.497483,0.08370838887481,0.5371204827758869,0.3316094244468415,2026-05-20,4.15,2026-06-17,5.12,0.233734939759036
000157,中联重科,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.1016109045848823,-0.2261426454480488,0.2600446428571428,0.4676339285714285,1.52,27.692633,0.0689364277550359,-0.3730209773081916,0.402239316593128,2026-05-20,7.25,2026-06-17,7.63,0.0524137931034482
000166,申万宏源,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.0569620253164557,0.1407147815082088,0.0055803571428571,0.0022321428571428,2.08,55.146892,0.1171766856374336,0.1915405509848056,0.1893137194021926,2026-05-20,4.47,2026-06-17,4.57,0.0223713646532439
000301,东方盛虹,unknown,20260520,2026-05-20,20260331,2026-04-29,0.0451930977814298,-0.0759072194960153,0.6975446428571429,0.5904017857142857,4.11,18.92074,0.056518178366302,3.1986308476394143,0.4630777909285251,2026-05-20,12.72,2026-06-17,12.27,-0.0353773584905661
000333,美的集团,unknown,20260520,2026-05-20,20260331,2026-04-30,0.0362364907819452,0.1345081872314661,0.6659217877094972,0.4464285714285714,5.56,25.571131,0.0245463502194736,0.0203122095681187,0.2027519550083676,2026-05-20,81.5,2026-06-17,79.22,-0.0279754601226993
000338,潍柴动力,unknown,20260520,2026-05-20,20260331,2026-04-30,0.2305660377358489,-0.0847501844817695,0.9921875,0.9832402234636872,3.27,21.430759,0.0887410224664864,0.1383110155966265,0.601717967998822,2026-05-20,32.61,2026-06-17,29.28,-0.1021159153633853
000408,藏格矿业,unknown,20260520,2026-05-20,20260331,2026-04-18,-0.0582203889216264,0.0665914243347385,0.6796875,0.8816964285714286,9.24,64.231124,0.2960846818591527,1.1060445278939968,0.4182158330505054,2026-05-20,79.91,2026-06-17,77.18,-0.0341634338630958
000425,徐工机械,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.0472361809045225,-0.0630463752434129,0.7410714285714286,0.8279329608938547,3.34,22.051513,0.0925845175204056,0.0086237121656489,0.5138995078482962,2026-05-20,9.48,2026-06-17,9.25,-0.0242616033755275
000538,云南白药,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.0542000372508846,-0.2478607726289473,0.0033482142857142,0.0066964285714285,4.96,30.633088,0.0702280674461037,0.0530679752173206,0.1296015978208223,2026-05-20,50.78,2026-06-17,48.91,-0.0368255218589996
000568,泸州老窖,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.0889328063241107,0.1155413722102551,0.1553072625698324,0.0011173184357541,7.32,85.817777,-0.1418913447396839,-0.1925478672546567,0.2318816608460029,2026-05-20,92.2,2026-06-17,82.94,-0.1004338394793926
000596,古井贡酒,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.0876543209876543,0.0263235003001602,0.2901785714285714,0.0022321428571428,6.3,77.845659,-0.1859036639376574,-0.3103085280394801,0.3340243295695143,2026-05-20,96.07,2026-06-17,84.06,-0.1250130113458935
000617,中油资本,unknown,20260520,2026-05-20,20260331,2026-04-27,-0.086446104589114,-0.0732936094178692,0.7946428571428571,0.7966480446927374,1.49,57.235599,-0.1723747512722055,0.2288530805349873,0.5700172091867003,2026-05-20,8.56,2026-06-17,7.31,-0.1460280373831777
000625,长安汽车,unknown,20260520,2026-05-20,20260331,2026-04-28,-0.1570576540755467,0.2512852899418203,0.7879464285714286,0.0011173184357541,0.45,14.075789,-0.0425680140854377,-0.7408744866333075,0.1545812747879402,2026-05-20,8.48,2026-06-17,7.39,-0.1285377358490567
000630,铜陵有色,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.079937304075235,0.0087077155521189,0.8536312849162011,0.8861607142857143,3.59,7.576958,0.8359203757090372,0.1911712880053853,0.4880257802036145,2026-05-20,5.87,2026-06-17,7.56,0.2879045996592844
000651,格力电器,unknown,20260520,2026-05-20,20260331,2026-04-29,0.0692828146143436,-0.2115132661846749,0.3504464285714285,0.0223214285714285,4.07,27.415781,0.0346152317074131,0.0300958796705475,0.1847018161054515,2026-05-20,39.51,2026-06-17,37.15,-0.0597317134902556
000657,中钨高新,unknown,20260520,2026-05-20,20260331,2026-04-27,-0.0167498218104061,-0.2474172267494202,0.9352678571428572,0.9598214285714286,9.03,30.450264,1.0647162841370146,2.64444359498522,0.7156923365485791,2026-05-20,55.18,2026-06-17,89.53,0.6225081551286697
000708,中信特钢,unknown,20260520,2026-05-20,20260331,2026-04-23,-0.1269254467036352,-0.0611230293529557,0.4223463687150838,0.2435754189944134,3.41,14.432855,-0.0128745853732291,0.0922792890146715,0.3164930944681761,2026-05-20,14.17,2026-06-17,13.61,-0.0395201129146083
000725,京东方A,unknown,20260520,2026-05-20,20260331,2026-04-30,0.057644110275689,0.1251826700999685,0.5910614525139665,0.4453125,1.26,15.595721,0.0079513420477401,0.0577575785685866,0.2860906456947741,2026-05-20,4.22,2026-06-17,6.65,0.575829383886256
000768,中航西飞,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.0714577378521845,-0.0554120277559614,0.0022321428571428,0.0033519553072625,1.31,8.755926,-0.1701947875549622,-0.1472821055366647,0.3351416252381893,2026-05-20,22.74,2026-06-17,21.14,-0.0703605980650834
000776,广发证券,unknown,20260520,2026-05-20,20260331,2026-04-28,-0.0338140228741918,-0.3091731908233261,0.0011173184357541,0.5011160714285714,3.32,53.447282,0.64334766481177,0.707328073430963,0.2941818342946756,2026-05-20,19.43,2026-06-17,21.42,0.1024189397838395
000792,盐湖股份,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.132752705199261,0.0019445619267526,0.4815642458100558,0.5078125,6.54,68.722459,0.9489197680942416,1.5478404989642418,0.5031147302030442,2026-05-20,32.86,2026-06-17,30.87,-0.0605599513085818
000807,云铝股份,unknown,20260520,2026-05-20,20260331,2026-04-24,-0.1692946058091285,0.1222966892395973,0.5546875,0.8337053571428571,10.64,31.574311,0.1368408938240199,2.6945356353763987,0.5233364526951071,2026-05-20,30.03,2026-06-17,25.0,-0.1674991674991675
000858,五 粮 液,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.1609071274298056,0.200198792370507,0.7016759776536313,0.0011173184357541,6.5,81.434385,0.3366696360864269,0.8256778567096432,0.1789567522765041,2026-05-20,85.47,2026-06-17,77.49,-0.0933660933660933
000895,双汇发展,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.0485155684286748,-0.1673202776485119,0.421875,0.2444196428571428,5.87,19.702609,0.0212052471035948,0.1358983117353787,0.19390670221339,2026-05-20,26.28,2026-06-17,23.05,-0.1229071537290715
000938,紫光股份,unknown,20260520,2026-05-20,20260331,2026-04-29,0.1628664495114007,-0.0818345748909081,0.7756696428571429,0.9441964285714286,5.21,12.882941,0.346087720553208,1.2605586077008408,0.4809154848212331,2026-05-20,32.13,2026-06-17,27.21,-0.1531279178338002
000963,华东医药,unknown,20260520,2026-05-20,20260331,2026-04-24,-0.1396383041802549,0.090470467813414,0.0011173184357541,0.0011160714285714,3.97,33.943073,0.0416981900748529,0.0956379807591829,0.2978939095480633,2026-05-20,29.02,2026-06-17,27.7,-0.045485871812543
000975,山金国际,unknown,20260520,2026-05-20,20260331,2026-04-22,-0.1906228610540725,0.1871825133152467,0.0122767857142857,0.7821229050279329,8.93,40.667789,0.3740839601363783,1.0088845375910749,0.5770439988606769,2026-05-20,23.65,2026-06-17,21.88,-0.0748414376321352
000977,浪潮信息,unknown,20260520,2026-05-20,20260331,2026-04-30,0.0445813169086377,-0.0509519129802997,0.9329608938547486,0.9330357142857144,2.75,6.639155,-0.2430312199215879,0.3073707751312211,0.5036835742962011,2026-05-20,71.23,2026-06-17,64.5,-0.0944826617998034
000988,华工科技,unknown,20260520,2026-05-20,20260331,2026-04-27,0.4005494033822647,0.0871418413315698,1.0,1.0,5.61,19.811644,0.2713133155037202,0.5575870145748911,0.7071098462580527,2026-05-20,163.15,2026-06-17,170.51,0.0451118602513023
000999,华润三九,unknown,20260520,2026-05-20,20260331,2026-04-25,-0.1014546810891457,-0.3333004266474421,0.0022321428571428,0.0625,4.74,57.679586,0.1862043421006369,-0.1529168597975589,0.1843958337063118,2026-05-20,24.09,2026-06-17,23.79,-0.012453300124533
001391,国货航,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.0056710775047259,0.7310835706754244,0.1143984220907297,0.019723865877712,1.74,12.296577,0.0073346710115393,-0.1844583631918257,0.2019249152411399,2026-05-20,5.26,2026-06-17,4.53,-0.1387832699619771
001965,招商公路,unknown,20260520,2026-05-20,20260331,2026-04-25,0.0866228070175438,0.0479733794283561,0.9296875,0.3560267857142857,1.9,25.86803,0.2689608565721122,0.0149611903132338,0.2773375289852278,2026-05-20,9.91,2026-06-17,9.8,-0.0110998990918264
001979,招商蛇口,unknown,20260520,2026-05-20,20260331,2026-04-30,0.0101694915254237,0.0163137898125467,0.9933035714285714,0.1774553571428571,0.04,10.194059,0.1574341167011568,-0.9121797135754002,0.3379058924354922,2026-05-20,8.94,2026-06-17,7.53,-0.157718120805369
002001,新和成,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.1375886524822696,-0.2140009364424683,0.2256983240223463,0.6737430167597765,5.37,42.880977,0.1571950771391126,-0.0280239964448615,0.462739627022898,2026-05-20,30.4,2026-06-17,28.5,-0.0625
002027,分众传媒,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.0885668276972624,0.0670441188915773,0.7544642857142857,0.3191964285714285,12.13,68.740819,0.0200926917014121,0.5764605334981621,0.2582312731934649,2026-05-20,5.66,2026-06-17,5.12,-0.0954063604240282
002028,思源电气,unknown,20260520,2026-05-20,20260331,2026-04-25,-0.039756782039289,-0.0107412142085744,0.9553571428571428,0.9374301675977652,3.48,28.950384,0.4159559230751786,0.2316986834820982,0.4947534906256032,2026-05-20,205.3,2026-06-17,186.93,-0.0894788114953726
002049,紫光国微,unknown,20260520,2026-05-20,20260331,2026-04-28,0.1153793387295925,0.0583337427675918,0.4274553571428571,0.3493303571428571,2.4,52.581069,0.4610709920817148,1.8027101427409715,0.3769295645221032,2026-05-20,81.3,2026-06-17,80.0,-0.015990159901599
002050,三花智控,unknown,20260520,2026-05-20,20260331,2026-04-30,0.1100131752305664,0.3290415364860508,0.8482142857142857,0.5256696428571429,2.88,27.796688,0.0135739756943542,0.0267934507988585,0.3750717612784007,2026-05-20,50.55,2026-06-17,44.6,-0.1177052423343223
002074,国轩高科,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.1021625652498136,-0.2005851840112212,0.1071428571428571,0.5223214285714286,0.07,16.05657,0.292964776523146,-0.7903938444990801,0.3705735452110697,2026-05-20,36.12,2026-06-17,30.12,-0.1661129568106311
