symbol,name,industry,industry_code,matched_name,source
002558,巨人网络,传媒,S720401,巨人网络,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
300308,中际旭创,通信,S730204,中际旭创,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
603986,兆易创新,电子,801080,兆易创新,AkShare sw_index_first_info + index_component_sw
002466,天齐锂业,有色金属,801050,天齐锂业,AkShare sw_index_first_info + index_component_sw
002709,天赐材料,电力设备,S630702,天赐材料,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
688256,寒武纪,电子,801080,寒武纪,AkShare sw_index_first_info + index_component_sw
301165,锐捷网络,通信,S730204,锐捷网络,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
301308,江波龙,电子,801080,江波龙,AkShare sw_index_first_info + index_component_sw
600176,中国巨石,建筑材料,S610202,中国巨石,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
688111,金山办公,计算机,S710402,金山办公,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
688012,中微公司,电子,801080,中微公司,AkShare sw_index_first_info + index_component_sw
000657,中钨高新,有色金属,801050,中钨高新,AkShare sw_index_first_info + index_component_sw
000792,盐湖股份,基础化工,801030,盐湖股份,AkShare sw_index_first_info + index_component_sw
000776,广发证券,非银金融,S490101,广发证券,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
300502,新易盛,通信,S730204,新易盛,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
601995,中金公司,非银金融,S490101,中金公司,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
600221,海航控股,交通运输,S421001,海航控股,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
601066,中信建投,非银金融,S490101,中信建投,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
600276,恒瑞医药,医药生物,S370102,恒瑞医药,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
603259,药明康德,医药生物,S370603,药明康德,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
600999,招商证券,非银金融,S490101,招商证券,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
300059,东方财富,非银金融,S490101,东方财富,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
601872,招商轮船,交通运输,S421101,招商轮船,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
688506,百利天恒,医药生物,S370102,百利天恒,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
601211,国泰海通,非银金融,S490101,国泰海通,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
600549,厦门钨业,有色金属,801050,厦门钨业,AkShare sw_index_first_info + index_component_sw
002049,紫光国微,电子,801080,紫光国微,AkShare sw_index_first_info + index_component_sw
600030,中信证券,非银金融,S490101,中信证券,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
002422,科伦药业,医药生物,S370102,科伦药业,AkShare stock_industry_change_cninfo / 申银万国行业分类标准
002371,北方华创,电子,801080,北方华创,AkShare sw_index_first_info + index_component_sw
